date,os_type,campaign_name,campaign_id,spend,impressions,clicks,backend_orders,backend_gmv,product,cpm,cpc,ctr,cpa_purchase,aov,backend_roi
2025-07-23,ANDROID,dhgate_product2_US_ACT&Nopay 30D_purchase_IAP_Iris_20250723,Az7WdyTWyUBq5v5N,11.45,18413,68,,,,,,,,,
2025-07-23,ANDROID,dhgate_product1_US_ACT&Nopay 30D_purchase_IAP_Iris_20250723,VB1tBPWQ32n5EeIO,11.99,18848,55,,,,,,,,,
2025-07-24,ANDROID,dhgate_product1_US_ACT&Nopay 30D_purchase_IAP_Iris_20250723,VB1tBPWQ32n5EeIO,56.65,104714,266,,,,,,,,,
2025-07-24,ANDROID,dhgate_product2_US_ACT&Nopay 30D_purchase_IAP_Iris_20250723,Az7WdyTWyUBq5v5N,56.51,104078,264,,,,,,,,,
2025-07-25,ANDROID,dhgate_product2_US_ACT&Nopay 30D_purchase_IAP_Iris_20250723,Az7WdyTWyUBq5v5N,55.9,110265,211,,,,,,,,,
2025-07-25,ANDROID,dhgate_product1_US_ACT&Nopay 30D_purchase_IAP_Iris_20250723,VB1tBPWQ32n5EeIO,56.18,111211,272,,,,,,,,,
2025-07-26,ANDROID,dhgate_product2_US_ACT&Nopay 30D_purchase_IAP_Iris_20250723,Az7WdyTWyUBq5v5N,57.35,122079,227,,,,,,,,,
2025-07-26,ANDROID,dhgate_product1_US_ACT&Nopay 30D_purchase_IAP_Iris_20250723,VB1tBPWQ32n5EeIO,57.38,122205,221,,,,,,,,,
2025-07-27,ANDROID,dhgate_product2_US_ACT&Nopay 30D_purchase_IAP_Iris_20250723,Az7WdyTWyUBq5v5N,60.39,137766,258,,,,,,,,,
2025-07-27,ANDROID,dhgate_product1_US_ACT&Nopay 30D_purchase_IAP_Iris_20250723,VB1tBPWQ32n5EeIO,62.81,142303,320,,,,,,,,,
2025-07-28,ANDROID,dhgate_product2_US_ACT&Nopay 30D_purchase_IAP_Iris_20250723,Az7WdyTWyUBq5v5N,30.4,91707,197,,,,,,,,,
