date,os_type,campaign_name,campaign_id,spend,impressions,clicks,backend_orders,backend_gmv,product,cpm,cpc,ctr,cpa_purchase,aov,backend_roi
2026-05-30,IOS,dhgate_product338_T1_ACT&Nopay 30D_purchase_IAP_Kelsey_20260515,aiZBaGOKYFBuq0Ps,39.42,2392,1211,,,,,,,,,
2026-05-30,ANDROID,dhgate_product337_T1_ACT&Nopay 30D_purchase_IAP_Kelsey_20260513,Hi3okRpzvLX7H2oQ,50.29,5362,1753,,,,,,,,,
2026-05-30,IOS,dhgate_product337_T1_ACT&Nopay 30D_purchase_IAP_Kelsey_20260513,pMbmqjxpXWy9uySH,50.16,6638,709,,,,,,,,,
2026-05-30,IOS,dhgate_product336_T1_Purchase 30D_purchase_IAP_Kelsey_20260512,IbA1O59ht1JcwImf,50.22,3162,469,,,,,,,,,
2026-05-30,ANDROID,dhgate_product332_T1_Purchase 30D_purchase_IAP_Kelsey_20260511,xRPnz3ozCwa6ycwg,50.16,7831,718,,,,,,,,,
2026-05-30,IOS,dhgate_product326_US_ACT&Nopay 30D_purchase_IAP_Kelsey_20260506,zMf9PKJzCf4uVI7T,49.39,1319,726,,,,,,,,,
2026-05-30,ANDROID,dhgate_product351_US_Purchase 30D_purchase_IAP_Kelsey_20260518,QTLyTb1PbE3fo5hj,50.73,1844,329,,,,,,,,,
2026-05-31,IOS,dhgate_product317_CA_ACT&Nopay 30D_purchase_IAP_Kelsey_20260526,cvR7ymoBxgm2d26z,34.21,889,425,,,,,,,,,
2026-05-31,ANDROID,dhgate_product317_FR_ACT&Nopay 30D_purchase_IAP_Kelsey_20260526,zbor8ujPF081oChW,42.06,3667,1407,,,,,,,,,
2026-05-31,IOS,dhgate_product319_US_Purchase 30D_purchase_IAP_Kelsey_20260429,SGOG7us7fBY7c5lH,50.37,3795,396,,,,,,,,,
2026-05-31,IOS,dhgate_product317_UK_ACT&Nopay 30D_purchase_IAP_Kelsey_20260427,H9HAtL9q0yyc4Gdy,100.3,3836,791,,,,,,,,,
2026-05-31,IOS,dhgate_product318_T1_Purchase 30D_purchase_IAP_Kelsey_20260428,mayu0PGeMJEYQhWJ,100.33,8502,699,,,,,,,,,
2026-05-31,ANDROID,dhgate_product315_UK_ACT&Nopay 30D_purchase_IAP_Kelsey_20260425,bedUOEtGfoRFbmze,50.23,6407,648,,,,,,,,,
2026-05-31,ANDROID,dhgate_product317_UK_ACT&Nopay 30D_purchase_IAP_Kelsey_20260427,tDzMEZEldS4Kei0r,50.38,2073,792,,,,,,,,,
2026-05-31,IOS,dhgate_product314_UK_Purchase 30D_purchase_IAP_Kelsey_20260424,NmHyz3ZrSwNTmf0j,50.28,2127,334,,,,,,,,,
2026-05-31,IOS,dhgate_product138_FR_ACT&Nopay 30D_purchase_IAP_Kelsey_20260403,zNcB24si9mbzBPed,100.56,11934,1267,,,,,,,,,
2026-05-31,ANDROID,dhgate_product301_US_ACT&Nopay 30D_purchase_IAP_Kelsey_20260422,uNF1ALuKQFoHzngn,84.8,3338,1596,,,,,,,,,
2026-05-31,IOS,dhgate_product300_T1_Purchase 30D_purchase_IAP_Kelsey_20260421,wGMfDvBHm0s02IeZ,50.2,7302,363,,,,,,,,,
2026-05-31,ANDROID,dhgate_product148_T1_Purchase 30D_purchase_IAP_Kelsey_20260415,dVlitdxzfmXStKCR,96.53,10476,859,,,,,,,,,
2026-05-31,IOS,dhgate_product137_US_Purchase 30D_purchase_IAP_Kelsey_20260402,Eo7scqEETcYxo6WH,50.46,4120,238,,,,,,,,,
2026-05-31,IOS,dhgate_product121_US_Purchase 30D_purchase_IAP_Kelsey_20260222,HGuWXrsF7XcJ6CCt,50.27,3785,234,,,,,,,,,
2026-05-31,IOS,dhgate_dpa-ios_US_ACT&Nopay 30D_purchase_IAP_Kelsey_20260515,y55faIMh7doL5RvO,100.13,167652,672,,,,,,,,,
2026-05-31,ANDROID,dhgate_dpa-and_US_ACT&Nopay 30D_purchase_IAP_Kelsey_20260511,M0ZXR7rklCeN7J9o,50.19,31984,1358,,,,,,,,,
2026-05-31,ANDROID,dhgate_product321_US_Purchase 30D_purchase_IAP_Kelsey_20260502,REqYVaM8BdMh2U81,50.19,4124,339,,,,,,,,,
2026-05-31,IOS,dhgate_product301_US_ACT&Nopay 30D_purchase_IAP_Kelsey_20260422,OG6WHvKPBaUM1wDo,50.25,7085,501,,,,,,,,,
2026-05-31,IOS,dhgate_product321_US_Purchase 30D_purchase_IAP_Kelsey_20260502,ihMCrglFMezOy59I,50.54,4749,247,,,,,,,,,
2026-05-31,ANDROID,dhgate_product322_US_Purchase 30D_purchase_IAP_Kelsey_20260504,UEOt0CeUKtYLfLaH,50.79,3276,329,,,,,,,,,
2026-05-31,ANDROID,dhgate_product368_T1_Purchase 30D_purchase_IAP_Kelsey_20260531,b3s2CGS3sMxfFWgV,11.3,680,261,,,,,,,,,
2026-05-31,IOS,dhgate_product326_US_ACT&Nopay 30D_purchase_IAP_Kelsey_20260506,zMf9PKJzCf4uVI7T,39.36,1069,633,,,,,,,,,
2026-05-31,IOS,dhgate_product368_T1_Purchase 30D_purchase_IAP_Kelsey_20260531,Ta2k2BeVyS7dWN4n,16.45,679,342,,,,,,,,,
2026-05-31,ANDROID,dhgate_product367_UK_Purchase 30D_purchase_IAP_Kelsey_20260530,AsUotp8z2P369W1o,27.74,1429,523,,,,,,,,,
2026-05-31,IOS,dhgate_product367_UK_Purchase 30D_purchase_IAP_Kelsey_20260530,B6nfe2NZpKCjpgca,49.65,1156,577,,,,,,,,,
2026-05-31,IOS,dhgate_product366_UK_Purchase 30D_purchase_IAP_Kelsey_20260529,AuNEgf9zqO65aSdr,48.36,950,442,,,,,,,,,
2026-05-31,ANDROID,dhgate_product366_UK_Purchase 30D_purchase_IAP_Kelsey_20260529,tlDSznDFDWyzbPVr,30.97,1180,366,,,,,,,,,
2026-05-31,IOS,dhgate_product365_US_Purchase 30D_purchase_IAP_Kelsey_20260528,gisdp4kMGc6WK5GP,50.92,1122,442,,,,,,,,,
2026-05-31,IOS,dhgate_product364_US_Purchase 30D_purchase_IAP_Kelsey_20260527,qX4oco28gDbrpBri,50.12,1101,441,,,,,,,,,
2026-05-31,ANDROID,dhgate_product364_US_Purchase 30D_purchase_IAP_Kelsey_20260527,QXrf4REyep7GNYPS,50.36,1723,370,,,,,,,,,
2026-05-31,ANDROID,dhgate_product365_US_Purchase 30D_purchase_IAP_Kelsey_20260528,WNhjy86kVGDJDol3,50.06,1309,407,,,,,,,,,
2026-05-31,IOS,dhgate_product357_UK_ACT&Nopay 30D_purchase_IAP_Kelsey_20260521,secYrwGRxGvE22kr,50.32,1198,675,,,,,,,,,
2026-05-31,ANDROID,dhgate_product359_UK_ACT&Nopay 30D_purchase_IAP_Kelsey_20260523,RWeVcrW8HneV8sUj,46.57,2706,944,,,,,,,,,
2026-05-31,IOS,dhgate_product336_T1_Purchase 30D_purchase_IAP_Kelsey_20260512,IbA1O59ht1JcwImf,50.18,3142,419,,,,,,,,,
2026-05-31,IOS,dhgate_product337_T1_ACT&Nopay 30D_purchase_IAP_Kelsey_20260513,pMbmqjxpXWy9uySH,50.17,8572,683,,,,,,,,,
2026-05-31,ANDROID,dhgate_product337_T1_ACT&Nopay 30D_purchase_IAP_Kelsey_20260513,Hi3okRpzvLX7H2oQ,42.28,4283,1685,,,,,,,,,
2026-05-31,ANDROID,dhgate_product332_T1_Purchase 30D_purchase_IAP_Kelsey_20260511,xRPnz3ozCwa6ycwg,50.17,7745,562,,,,,,,,,
2026-05-31,IOS,dhgate_product340_US_Purchase 30D_purchase_IAP_Kelsey_20260516,yznk4uz7IRlNu5TH,50.06,1089,506,,,,,,,,,
2026-05-31,IOS,dhgate_product350_US_Purchase 30D_purchase_IAP_Kelsey_20260517,eZwoS7yMwcYqxbzm,50.38,853,400,,,,,,,,,
2026-05-31,ANDROID,dhgate_product351_US_Purchase 30D_purchase_IAP_Kelsey_20260518,QTLyTb1PbE3fo5hj,50.07,1041,333,,,,,,,,,
2026-05-31,IOS,dhgate_product338_T1_ACT&Nopay 30D_purchase_IAP_Kelsey_20260515,aiZBaGOKYFBuq0Ps,33.72,2571,920,,,,,,,,,
2026-06-01,ANDROID,dhgate_product315_UK_ACT&Nopay 30D_purchase_IAP_Kelsey_20260425,bedUOEtGfoRFbmze,48.39,5659,705,,,,,,,,,
2026-06-01,ANDROID,dhgate_product321_US_Purchase 30D_purchase_IAP_Kelsey_20260502,REqYVaM8BdMh2U81,50.1,2854,353,,,,,,,,,
2026-06-01,IOS,dhgate_product319_US_Purchase 30D_purchase_IAP_Kelsey_20260429,SGOG7us7fBY7c5lH,50.66,3131,432,,,,,,,,,
2026-06-01,IOS,dhgate_product318_T1_Purchase 30D_purchase_IAP_Kelsey_20260428,mayu0PGeMJEYQhWJ,100.57,6786,759,,,,,,,,,
2026-06-01,IOS,dhgate_product317_UK_ACT&Nopay 30D_purchase_IAP_Kelsey_20260427,H9HAtL9q0yyc4Gdy,100.58,3621,867,,,,,,,,,
2026-06-01,ANDROID,dhgate_product317_UK_ACT&Nopay 30D_purchase_IAP_Kelsey_20260427,tDzMEZEldS4Kei0r,42.27,1753,670,,,,,,,,,
2026-06-01,ANDROID,dhgate_product317_FR_ACT&Nopay 30D_purchase_IAP_Kelsey_20260526,zbor8ujPF081oChW,45.44,4496,1684,,,,,,,,,
2026-06-01,IOS,dhgate_product317_CA_ACT&Nopay 30D_purchase_IAP_Kelsey_20260526,cvR7ymoBxgm2d26z,22.91,708,308,,,,,,,,,
2026-06-01,IOS,dhgate_product314_UK_Purchase 30D_purchase_IAP_Kelsey_20260424,NmHyz3ZrSwNTmf0j,50.34,2015,353,,,,,,,,,
2026-06-01,IOS,dhgate_product321_US_Purchase 30D_purchase_IAP_Kelsey_20260502,ihMCrglFMezOy59I,50.03,4521,218,,,,,,,,,
2026-06-01,ANDROID,dhgate_product301_US_ACT&Nopay 30D_purchase_IAP_Kelsey_20260422,uNF1ALuKQFoHzngn,85.52,3482,1617,,,,,,,,,
2026-06-01,IOS,dhgate_product300_T1_Purchase 30D_purchase_IAP_Kelsey_20260421,wGMfDvBHm0s02IeZ,50.27,4903,358,,,,,,,,,
2026-06-01,ANDROID,dhgate_product148_T1_Purchase 30D_purchase_IAP_Kelsey_20260415,dVlitdxzfmXStKCR,100.5,11020,952,,,,,,,,,
2026-06-01,IOS,dhgate_product138_FR_ACT&Nopay 30D_purchase_IAP_Kelsey_20260403,zNcB24si9mbzBPed,100.27,8512,1320,,,,,,,,,
2026-06-01,IOS,dhgate_product137_US_Purchase 30D_purchase_IAP_Kelsey_20260402,Eo7scqEETcYxo6WH,50.11,3741,226,,,,,,,,,
2026-06-01,IOS,dhgate_product121_US_Purchase 30D_purchase_IAP_Kelsey_20260222,HGuWXrsF7XcJ6CCt,50.1,3628,231,,,,,,,,,
2026-06-01,IOS,dhgate_dpa-ios_US_ACT&Nopay 30D_purchase_IAP_Kelsey_20260515,y55faIMh7doL5RvO,100.14,160734,1111,,,,,,,,,
2026-06-01,ANDROID,dhgate_dpa-and_US_ACT&Nopay 30D_purchase_IAP_Kelsey_20260511,M0ZXR7rklCeN7J9o,50.25,41874,1134,,,,,,,,,
2026-06-01,IOS,dhgate_product301_US_ACT&Nopay 30D_purchase_IAP_Kelsey_20260422,OG6WHvKPBaUM1wDo,50.08,6878,488,,,,,,,,,
2026-06-01,IOS,dhgate_product326_US_ACT&Nopay 30D_purchase_IAP_Kelsey_20260506,zMf9PKJzCf4uVI7T,44.05,1236,742,,,,,,,,,
2026-06-01,ANDROID,dhgate_product322_US_Purchase 30D_purchase_IAP_Kelsey_20260504,UEOt0CeUKtYLfLaH,50.29,2356,339,,,,,,,,,
2026-06-01,IOS,dhgate_product336_T1_Purchase 30D_purchase_IAP_Kelsey_20260512,IbA1O59ht1JcwImf,50.2,2842,492,,,,,,,,,
2026-06-01,ANDROID,dhgate_product332_T1_Purchase 30D_purchase_IAP_Kelsey_20260511,xRPnz3ozCwa6ycwg,48.69,8093,740,,,,,,,,,
2026-06-01,IOS,dhgate_product369_US_ACT&Nopay 30D_purchase_IAP_Kelsey_20260601,c3VF4BRyeEfmmeHV,12.72,553,227,,,,,,,,,
2026-06-01,IOS,dhgate_product368_T1_Purchase 30D_purchase_IAP_Kelsey_20260531,Ta2k2BeVyS7dWN4n,26.57,1234,573,,,,,,,,,
2026-06-01,ANDROID,dhgate_product368_T1_Purchase 30D_purchase_IAP_Kelsey_20260531,b3s2CGS3sMxfFWgV,38.66,2410,707,,,,,,,,,
2026-06-01,ANDROID,dhgate_product367_UK_Purchase 30D_purchase_IAP_Kelsey_20260530,AsUotp8z2P369W1o,35.93,1855,586,,,,,,,,,
2026-06-01,IOS,dhgate_product367_UK_Purchase 30D_purchase_IAP_Kelsey_20260530,B6nfe2NZpKCjpgca,46.79,1169,456,,,,,,,,,
2026-06-01,ANDROID,dhgate_product366_UK_Purchase 30D_purchase_IAP_Kelsey_20260529,tlDSznDFDWyzbPVr,40.22,1338,502,,,,,,,,,
2026-06-01,ANDROID,dhgate_product365_US_Purchase 30D_purchase_IAP_Kelsey_20260528,WNhjy86kVGDJDol3,48.44,1810,402,,,,,,,,,
2026-06-01,IOS,dhgate_product365_US_Purchase 30D_purchase_IAP_Kelsey_20260528,gisdp4kMGc6WK5GP,50.74,986,482,,,,,,,,,
2026-06-01,IOS,dhgate_product364_US_Purchase 30D_purchase_IAP_Kelsey_20260527,qX4oco28gDbrpBri,50.15,1075,445,,,,,,,,,
2026-06-01,IOS,dhgate_product366_UK_Purchase 30D_purchase_IAP_Kelsey_20260529,AuNEgf9zqO65aSdr,48.81,1487,444,,,,,,,,,
2026-06-01,ANDROID,dhgate_product359_UK_ACT&Nopay 30D_purchase_IAP_Kelsey_20260523,RWeVcrW8HneV8sUj,50.08,2310,936,,,,,,,,,
2026-06-01,ANDROID,dhgate_product364_US_Purchase 30D_purchase_IAP_Kelsey_20260527,QXrf4REyep7GNYPS,48.48,2025,385,,,,,,,,,
2026-06-01,IOS,dhgate_product337_T1_ACT&Nopay 30D_purchase_IAP_Kelsey_20260513,pMbmqjxpXWy9uySH,50.17,8381,700,,,,,,,,,
2026-06-01,ANDROID,dhgate_product337_T1_ACT&Nopay 30D_purchase_IAP_Kelsey_20260513,Hi3okRpzvLX7H2oQ,44.08,5270,2062,,,,,,,,,
2026-06-01,IOS,dhgate_product338_T1_ACT&Nopay 30D_purchase_IAP_Kelsey_20260515,aiZBaGOKYFBuq0Ps,49.54,5829,766,,,,,,,,,
2026-06-01,ANDROID,dhgate_product369_US_ACT&Nopay 30D_purchase_IAP_Kelsey_20260601,n7f3WCGhTngQWJhC,4.5,417,214,,,,,,,,,
