date,os_type,campaign_name,campaign_id,spend,impressions,clicks,backend_orders,backend_gmv,product,cpm,cpc,ctr,cpa_purchase,aov,backend_roi
2026-04-02,ANDROID,dhgate_product89_US_Purchase 30D_purchase_IAP_Kelsey_20260319_playable,yVlryPZ7QjmW3iMX,24.45,753,93,,,,,,,,,
2026-04-02,IOS,dhgate_product121_US_Purchase 30D_purchase_IAP_Kelsey_20260222,HGuWXrsF7XcJ6CCt,195.88,24037,661,,,,,,,,,
2026-04-02,ANDROID,dhgate_product122_UK_ACT&Nopay 30D_purchase_IAP_Kelsey_20260304,JHYEUfnkThb8zpz3,150.03,18935,2836,,,,,,,,,
2026-04-02,ANDROID,dhgate_product122_US_ACT&Nopay 30D_purchase_IAP_Kelsey_20260222,cuKnHjUyFZarg9S8,94.23,33690,844,,,,,,,,,
2026-04-02,IOS,dhgate_product127_US_Purchase 30D_purchase_IAP_Kelsey_20260329,p0RBpfH8rJNIK8yo,49.27,8022,500,,,,,,,,,
2026-04-02,IOS,dhgate_product128_US_Purchase 30D_purchase_IAP_Kelsey_20260330,AEbiybmyw1wzgg0r,49.87,6414,440,,,,,,,,,
2026-04-02,ANDROID,dhgate_product128_US_Purchase 30D_purchase_IAP_Kelsey_20260330,WycqF0AH7l5vBlNE,50.56,3217,578,,,,,,,,,
2026-04-02,ANDROID,dhgate_product130_US_ACT&Nopay 30D_purchase_IAP_Kelsey_20260401,phSYxoQKPgtztzls,50.74,5703,1331,,,,,,,,,
2026-04-02,IOS,dhgate_product130_US_ACT&Nopay 30D_purchase_IAP_Kelsey_20260401,esYvKwB3Jx0zEWwO,48.2,4317,945,,,,,,,,,
2026-04-02,IOS,dhgate_product137_US_Purchase 30D_purchase_IAP_Kelsey_20260402,Eo7scqEETcYxo6WH,15.5,436,238,,,,,,,,,
2026-04-02,ANDROID,dhgate_product137_US_Purchase 30D_purchase_IAP_Kelsey_20260402,jGYW1E9U0Gn9lUzi,15.49,929,188,,,,,,,,,
2026-04-02,IOS,dhgate_product278_US_ACT&Nopay 30D_purchase_IAP_Kelsey_20260301,bObaCa0m4gcS9tff,99.59,35745,374,,,,,,,,,
2026-04-02,IOS,dhgate_product89_US_Purchase 30D_purchase_IAP_Kelsey_20260319_playable,RrDKYSpZbsMiL5xa,19.61,632,78,,,,,,,,,
2026-04-02,IOS,dhgate_product280_UK_Purchase 30D_purchase_IAP_Kelsey_20260321,oNzqTKQb4yki8Qfe,45.95,3543,253,,,,,,,,,
